timewindow,port,external_ips,new_external_ips,num_conns,internal_ips,min_duration,max_duration,mean_duration,variance_duration,min_orig_bytes,max_orig_bytes,mean_orig_bytes,variance_orig_bytes,min_resp_bytes,max_resp_bytes,mean_resp_bytes,variance_resp_bytes,min_orig_pkts,max_orig_pkts,mean_orig_pkts,variance_orig_pkts,min_resp_pkts,max_resp_pkts,mean_resp_pkts,variance_resp_pkts,S0_count,S1_count,SF_count,REJ_count,S2_count,S3_count,RSTO_count,RSTR_count,RSTOS0_count,RSTRH_count,SH_count,SHR_count,OTH_count,failed_conn_count,zero_resp_bytes_count,label
0,80,52,12,126,30,0.000312,120.072106,8.292371124999999,537.4787639906772,0.0,3014.0,341.9732142857143,142708.20463966837,0.0,2282644.0,57366.705357142855,55999482750.20782,0.0,987.0,26.57936507936508,10872.2913202318,0.0,1602.0,39.88095238095238,25135.136621315196,5,0,99,0,2,0,8,1,0,0,1,0,10,27,11,False
0,443,9,0,14,8,0.028947,232.599047,30.0740725,3623.2040591680025,554.0,4338.0,1467.357142857143,1576964.086734694,1486.0,157519.0,20421.928571428572,1524872363.2091837,8.0,66.0,18.285714285714285,209.77551020408163,7.0,117.0,21.0,738.1428571428571,0,0,9,0,0,0,5,0,0,0,0,0,0,5,0,False
1,80,45,8,117,33,1.4e-05,253.674094,9.692456666666667,1097.1598306875974,0.0,4940.0,442.0571428571429,445127.71102040826,0.0,557467.0,27942.761904761905,3544038045.400452,0.0,245.0,14.435897435897436,610.60486522025,0.0,406.0,21.982905982905983,1720.5467163415876,4,2,88,0,0,0,10,0,0,0,0,2,11,27,13,False
1,443,10,2,12,9,0.000142,26.289912,6.203593166666665,66.69494287262813,0.0,2336.0,879.8333333333334,488591.97222222225,1.0,66069.0,11341.166666666666,318077903.4722223,1.0,57.0,14.833333333333334,197.63888888888889,1.0,50.0,12.75,151.1875,0,0,9,0,0,0,2,0,0,0,0,0,1,3,0,False
2,80,43,6,121,33,1.4e-05,250.090089,13.959974925925929,2247.8649103479715,0.0,3750.0,347.3703703703704,250192.02949245536,0.0,557467.0,26273.48148148148,3854310794.1755824,0.0,252.0,13.057851239669422,649.7404548869616,0.0,405.0,20.421487603305785,1828.3430093572842,2,1,92,0,2,0,10,0,0,0,1,1,12,28,14,False
2,443,10,3,13,8,0.57712,353.511216,35.51325130769231,8487.025841650759,0.0,7656.0,1412.6153846153845,3585194.390532544,0.0,69675.0,17011.615384615383,569575990.5443788,3.0,57.0,18.46153846153846,230.24852071005918,3.0,55.0,18.846153846153847,259.6686390532544,0,1,9,0,0,0,3,0,0,0,0,0,0,3,2,False
3,80,51,7,124,27,1.4e-05,75.833258,4.050009061946903,107.09251410271283,0.0,1248.0,296.9380530973451,62502.854569660885,0.0,278734.0,24369.070796460175,1374147229.4109175,0.0,104.0,12.040322580645162,152.99030957336112,0.0,201.0,19.201612903225808,671.1448361082205,4,0,96,1,1,1,8,1,0,0,2,0,10,28,14,False
3,443,12,2,29,11,1.4e-05,273.535572,57.468068344827586,10155.921295426368,0.0,19057.0,1273.0689655172414,11443870.064209273,0.0,110425.0,11232.551724137931,509785176.31629,1.0,54.0,15.482758620689655,155.4221165279429,1.0,87.0,15.931034482758621,293.0986920332937,0,0,19,3,0,0,7,0,0,0,0,0,0,10,3,False
4,80,55,9,150,31,1.4e-05,342.448586,21.6514386137931,3094.197940476674,0.0,8123.0,676.2896551724137,1799115.7505826396,0.0,547480.0,42214.606896551726,7797573701.976505,0.0,275.0,21.446666666666665,1387.2604888888889,0.0,389.0,33.6,3911.2933333333344,5,3,114,0,4,0,16,2,1,0,0,1,4,33,18,False
4,443,9,2,14,9,0.265992,248.25281,25.832216384615382,4190.49775995975,0.0,2298.0,985.0,460809.23076923075,0.0,79114.0,16371.76923076923,458507772.485207,1.0,67.0,17.428571428571427,254.10204081632656,0.0,59.0,16.571428571428573,248.95918367346934,3,0,10,0,0,0,1,0,0,0,0,0,0,4,2,False
5,80,52,4,159,29,1.4e-05,241.402226,15.674440239436622,1543.8301724533037,0.0,1897617349.0,13364096.929577464,2.5180215021909516e+16,0.0,762120.0,65434.866197183095,19117106248.83421,0.0,271.0,27.465408805031448,2622.9280487322494,0.0,553.0,46.62264150943396,9277.744393022425,4,3,112,0,3,0,23,0,1,0,0,3,10,44,15,False
5,443,10,2,12,10,0.601404,240.26842,41.48297163636364,5171.207940988045,157.0,130839.0,12863.454545454546,1392315733.338843,489.0,139963.0,21763.363636363636,1612075085.5041323,1.0,100.0,26.916666666666668,928.9097222222223,0.0,115.0,23.25,907.0208333333335,1,0,9,0,0,0,1,1,0,0,0,0,0,3,0,False
6,80,54,6,141,31,1.4e-05,1074.816545,17.85639196460177,10787.787261362777,0.0,13467.0,427.0353982300885,1719178.2465345762,0.0,278734.0,25183.83185840708,1627542324.7593393,0.0,135.0,11.546099290780141,306.063477692269,0.0,203.0,17.75886524822695,760.7361802726223,6,1,90,0,0,0,14,3,0,0,2,22,3,50,16,False
6,443,11,3,15,9,1.4e-05,20.737348,5.602214000000001,39.56935598913361,0.0,2006.0,860.5333333333333,337996.3822222222,1.0,15361.0,6093.4,32351181.440000005,1.0,17.0,11.4,17.839999999999996,1.0,17.0,9.8,15.760000000000002,0,0,12,0,0,0,2,0,0,0,0,0,1,3,0,False
7,80,48,5,130,28,1.5e-05,75.446127,3.9093111339285707,108.46764136805605,0.0,1255.0,307.10714285714283,52289.220663265296,0.0,584862.0,35086.125,8286282501.7165165,0.0,260.0,15.653846153846153,1367.8417159763312,0.0,413.0,24.96923076923077,3686.0913609467457,3,2,98,0,0,0,7,1,0,0,0,10,9,30,11,False
7,443,15,3,22,10,0.201527,20.790756,7.014276545454544,52.81798247764979,0.0,1899.0,820.3636363636364,277590.5950413223,0.0,53616.0,10157.363636363636,131001671.50413226,5.0,47.0,14.318181818181818,71.3987603305785,3.0,41.0,13.045454545454545,53.497933884297524,0,0,18,0,0,0,4,0,0,0,0,0,0,4,2,False
8,80,36,3,109,24,0.000429,168.377601,8.240052333333333,671.6730680173279,0.0,3501.0,376.5959595959596,272891.67513519037,0.0,108404.0,20847.222222222223,743720170.1324356,0.0,64.0,11.36697247706422,90.5809275313526,0.0,84.0,17.220183486238533,384.7038128103695,6,2,87,0,0,0,5,1,0,0,0,3,5,20,13,False
8,443,14,1,19,10,0.030591,244.12476,53.07296563157895,7482.112031590005,132.0,4786.0,1400.1052631578948,1844511.7783933517,160.0,100532.0,11402.0,528933068.4210526,7.0,85.0,17.210526315789473,283.4293628808864,6.0,75.0,16.42105263157895,260.98060941828254,0,1,17,0,0,0,1,0,0,0,0,0,0,1,0,False
9,80,59,4,146,33,1.5e-05,274.906987,12.613328296296297,1474.647767744068,0.0,7722.0,444.94814814814816,963845.4269410152,0.0,635208.0,25253.94074074074,4425519437.626119,0.0,286.0,13.04109589041096,721.6695440045036,0.0,446.0,20.10958904109589,2056.2619628448133,6,2,110,0,0,0,14,1,0,0,2,6,5,34,29,False
9,443,7,0,11,7,0.026151,40.018559,8.638074363636365,147.31684932189623,0.0,3225.0,1094.090909090909,722143.5371900827,0.0,117337.0,24261.272727272728,1127349894.7438018,4.0,97.0,24.272727272727273,645.1074380165289,3.0,86.0,23.272727272727273,520.9256198347108,0,0,10,0,0,0,1,0,0,0,0,0,0,1,1,False
